level,1-3star_tier1,1-3star_tier2,1-3star_tier3,4star_tier1,4star_tier2,4star_tier3,4star_tier4,5star_tier1,5star_tier2,5star_tier3,5star_tier4
22,2.402,2.567,2.722,2.562,2.734,2.895,3.047,2.639,2.827,3.002,3.165
23,2.466,2.64,2.804,2.634,2.817,2.987,3.148,2.717,2.915,3.101,3.274
24,2.529,2.713,2.887,2.707,2.899,3.08,3.25,2.794,3.004,3.2,3.384
25,2.591,2.786,2.969,2.778,2.982,3.172,3.352,2.871,3.093,3.3,3.493
26,2.654,2.859,3.052,2.85,3.064,3.265,3.454,2.948,3.182,3.4,3.604
27,2.716,2.931,3.134,2.922,3.147,3.358,3.557,3.026,3.271,3.5,3.714
28,2.778,3.004,3.217,2.993,3.229,3.451,3.66,3.103,3.36,3.601,3.825
29,2.84,3.076,3.299,3.065,3.312,3.544,3.762,3.18,3.45,3.701,3.937
30,2.901,3.148,3.382,3.136,3.394,3.637,3.866,3.257,3.539,3.803,4.049
31,2.962,3.221,3.464,3.207,3.477,3.731,3.969,3.334,3.629,3.904,4.161
32,3.023,3.293,3.547,3.278,3.56,3.824,4.073,3.412,3.719,4.005,4.273
33,3.084,3.365,3.629,3.349,3.642,3.918,4.177,3.489,3.809,4.107,4.386
34,3.145,3.437,3.712,3.42,3.725,4.011,4.281,3.566,3.899,4.209,4.5
35,3.205,3.508,3.794,3.49,3.807,4.105,4.385,3.644,3.989,4.312,4.613
36,3.265,3.58,3.877,3.561,3.89,4.199,4.489,3.721,4.08,4.414,4.727
37,3.325,3.652,3.959,3.632,3.972,4.293,4.594,3.798,4.17,4.517,4.841
38,3.385,3.723,4.042,3.702,4.055,4.387,4.699,3.876,4.261,4.62,4.956
39,3.445,3.794,4.124,3.772,4.138,4.481,4.803,3.953,4.352,4.723,5.071
40,3.504,3.866,4.206,3.842,4.22,4.575,4.909,4.031,4.443,4.827,5.186
41,3.564,3.937,4.289,3.913,4.303,4.669,5.014,4.109,4.534,4.931,5.301
42,3.623,4.008,4.371,3.983,4.385,4.763,5.119,4.186,4.625,5.035,5.417
43,3.682,4.079,4.454,4.053,4.468,4.858,5.225,4.264,4.717,5.139,5.533
44,3.741,4.15,4.536,4.122,4.55,4.952,5.33,4.342,4.808,5.243,5.65
45,3.799,4.221,4.618,4.192,4.633,5.047,5.436,4.419,4.9,5.348,5.767
46,3.858,4.291,4.701,4.262,4.716,5.142,5.542,4.497,4.992,5.453,5.884
47,3.916,4.362,4.783,4.332,4.798,5.236,5.648,4.575,5.084,5.558,6.0
48,3.974,4.433,4.865,4.401,4.881,5.331,5.755,4.653,5.176,5.663,6.118
49,4.032,4.503,4.948,4.471,4.963,5.426,5.861,4.731,5.268,5.768,6.236
50,4.09,4.574,5.03,4.54,5.046,5.521,5.968,4.81,5.36,5.874,6.354
51,4.148,4.644,5.112,4.609,5.128,5.616,6.074,4.888,5.453,5.98,6.473
52,4.205,4.714,5.194,4.679,5.211,5.711,6.181,4.966,5.546,6.086,6.592
53,4.263,4.784,5.277,4.748,5.294,5.806,6.288,5.044,5.638,6.192,6.71
54,4.32,4.855,5.359,4.817,5.376,5.901,6.395,5.123,5.731,6.299,6.83
55,4.377,4.925,5.441,4.886,5.459,5.996,6.502,5.201,5.825,6.406,6.949
56,4.434,4.995,5.523,4.955,5.541,6.092,6.609,5.28,5.918,6.513,7.069
57,4.491,5.065,5.605,5.024,5.624,6.187,6.717,5.359,6.011,6.62,7.19
58,4.548,5.134,5.688,5.093,5.706,6.282,6.824,5.437,6.105,6.727,7.309
59,4.605,5.204,5.77,5.162,5.789,6.378,6.932,5.516,6.198,6.835,7.43
60,4.661,5.274,5.852,5.231,5.872,6.473,7.039,5.595,6.292,6.942,7.55
61,4.718,5.344,5.934,5.3,5.954,6.569,7.147,5.674,6.386,7.05,7.671
62,4.774,5.413,6.016,5.368,6.037,6.664,7.255,5.753,6.48,7.158,7.792
63,4.83,5.483,6.098,5.437,6.119,6.76,7.363,5.833,6.575,7.267,7.913
64,4.887,5.552,6.18,5.506,6.202,6.856,7.471,5.912,6.669,7.375,8.035
65,4.943,5.622,6.262,5.574,6.284,6.951,7.579,5.991,6.763,7.484,8.157
66,4.999,5.691,6.344,5.643,6.367,7.047,7.687,6.071,6.858,7.592,8.279
67,5.054,5.761,6.427,5.711,6.45,7.143,7.795,6.15,6.953,7.701,8.401
68,5.11,5.83,6.509,5.78,6.532,7.239,7.904,6.23,7.048,7.811,8.524
69,5.166,5.899,6.591,5.848,6.615,7.335,8.012,6.31,7.143,7.92,8.646
70,5.222,5.968,6.673,5.916,6.697,7.431,8.12,6.39,7.238,8.03,8.77
71,5.277,6.038,6.755,5.985,6.78,7.527,8.229,6.47,7.334,8.139,8.893
72,5.333,6.107,6.837,6.053,6.862,7.623,8.338,6.55,7.429,8.249,9.016
73,5.388,6.176,6.919,6.121,6.945,7.719,8.446,6.63,7.525,8.359,9.14
74,5.443,6.245,7.001,6.189,7.028,7.815,8.555,6.71,7.621,8.47,9.263
75,5.498,6.314,7.083,6.257,7.11,7.911,8.664,6.791,7.717,8.58,9.387
76,5.554,6.383,7.165,6.326,7.193,8.007,8.773,6.871,7.813,8.691,9.512
77,5.609,6.452,7.247,6.394,7.275,8.103,8.882,6.952,7.909,8.802,9.636
78,5.664,6.521,7.329,6.462,7.358,8.199,8.991,7.033,8.005,8.913,9.761
79,5.719,6.59,7.411,6.53,7.44,8.296,9.1,7.113,8.102,9.024,9.886
80,5.774,6.659,7.493,6.598,7.523,8.392,9.209,7.194,8.199,9.135,10.011
81,5.828,6.727,7.575,6.665,7.606,8.488,9.319,7.275,8.295,9.247,10.136
82,5.883,6.796,7.657,6.733,7.688,8.585,9.428,7.357,8.392,9.358,10.261
83,5.938,6.865,7.739,6.801,7.771,8.681,9.537,7.438,8.489,9.47,10.387
84,5.993,6.934,7.821,6.869,7.853,8.777,9.647,7.519,8.587,9.582,10.513
85,6.047,7.003,7.904,6.937,7.936,8.874,9.756,7.601,8.684,9.694,10.639
86,6.102,7.071,7.986,7.005,8.018,8.97,9.866,7.682,8.782,9.807,10.765
87,6.156,7.14,8.068,7.072,8.101,9.067,9.975,7.764,8.879,9.919,10.892
88,6.211,7.209,8.15,7.14,8.183,9.163,10.085,7.846,8.977,10.032,11.018
89,6.265,7.277,8.232,7.208,8.266,9.26,10.195,7.928,9.075,10.145,11.145
90,6.32,7.346,8.314,7.275,8.349,9.356,10.305,8.01,9.173,10.258,11.272
