stat,rarity,level,value
ANEMO_DMG,5,19,44.6
ANEMO_DMG,5,20,46.6
ATK,1,0,8.0
ATK,1,1,12.0
ATK,1,2,15.0
ATK,1,3,18.0
ATK,1,4,21.0
ATK,2,0,17.0
ATK,2,1,22.0
ATK,2,2,26.0
ATK,2,3,31.0
ATK,2,4,36.0
ATK,3,0,28.0
ATK,3,1,36.0
ATK,3,2,44.0
ATK,3,3,52.0
ATK,3,4,60.0
ATK,3,5,68.0
ATK,3,6,76.0
ATK,3,7,84.0
ATK,3,8,91.0
ATK,3,9,99.0
ATK,3,10,107.0
ATK,3,11,115.0
ATK,3,12,123.0
ATK,4,0,42.0
ATK,4,1,54.0
ATK,4,2,66.0
ATK,4,3,78.0
ATK,4,4,90.0
ATK,4,5,102.0
ATK,4,6,113.0
ATK,4,7,125.0
ATK,4,8,137.0
ATK,4,9,149.0
ATK,4,10,161.0
ATK,4,11,173.0
ATK,4,12,185.0
ATK,4,13,197.0
ATK,4,14,209.0
ATK,4,15,221.0
ATK,4,16,232.0
ATK,5,0,47.0
ATK,5,1,60.0
ATK,5,2,73.0
ATK,5,3,86.0
ATK,5,4,100.0
ATK,5,5,113.0
ATK,5,6,126.0
ATK,5,7,139.0
ATK,5,8,152.0
ATK,5,9,166.0
ATK,5,10,179.0
ATK,5,11,192.0
ATK,5,12,205.0
ATK,5,13,219.0
ATK,5,14,232.0
ATK,5,15,245.0
ATK,5,16,258.0
ATK,5,17,272.0
ATK,5,18,285.0
ATK,5,19,298.0
ATK,5,20,311.0
ATK_PCT,1,0,3.1
ATK_PCT,1,1,4.3
ATK_PCT,1,2,5.5
ATK_PCT,1,3,6.7
ATK_PCT,1,4,7.9
ATK_PCT,2,0,4.2
ATK_PCT,2,1,5.4
ATK_PCT,2,2,6.6
ATK_PCT,2,3,7.8
ATK_PCT,2,4,9.0
ATK_PCT,3,0,5.2
ATK_PCT,3,1,6.7
ATK_PCT,3,2,8.2
ATK_PCT,3,3,9.7
ATK_PCT,3,4,11.2
ATK_PCT,3,5,12.7
ATK_PCT,3,6,14.2
ATK_PCT,3,7,15.6
ATK_PCT,3,8,17.1
ATK_PCT,3,9,18.6
ATK_PCT,3,10,20.1
ATK_PCT,3,11,21.6
ATK_PCT,3,12,23.1
ATK_PCT,4,0,6.3
ATK_PCT,4,1,8.1
ATK_PCT,4,2,9.9
ATK_PCT,4,3,11.6
ATK_PCT,4,4,13.4
ATK_PCT,4,5,15.2
ATK_PCT,4,6,17.0
ATK_PCT,4,7,18.8
ATK_PCT,4,8,20.6
ATK_PCT,4,9,22.3
ATK_PCT,4,10,24.1
ATK_PCT,4,11,25.9
ATK_PCT,4,12,27.7
ATK_PCT,4,13,29.5
ATK_PCT,4,14,31.3
ATK_PCT,4,15,33.0
ATK_PCT,4,16,34.8
ATK_PCT,5,0,7.0
ATK_PCT,5,1,9.0
ATK_PCT,5,2,11.0
ATK_PCT,5,3,12.9
ATK_PCT,5,4,14.9
ATK_PCT,5,5,16.9
ATK_PCT,5,6,18.9
ATK_PCT,5,7,20.9
ATK_PCT,5,8,22.8
ATK_PCT,5,9,24.8
ATK_PCT,5,10,26.8
ATK_PCT,5,11,28.8
ATK_PCT,5,12,30.8
ATK_PCT,5,13,32.8
ATK_PCT,5,14,34.7
ATK_PCT,5,15,36.7
ATK_PCT,5,16,38.7
ATK_PCT,5,17,40.7
ATK_PCT,5,18,42.7
ATK_PCT,5,19,44.6
ATK_PCT,5,20,46.6
CRIT_DMG,1,0,4.2
CRIT_DMG,1,1,5.8
CRIT_DMG,1,2,7.4
CRIT_DMG,1,3,9.0
CRIT_DMG,1,4,10.5
CRIT_DMG,2,0,5.6
CRIT_DMG,2,1,7.2
CRIT_DMG,2,2,8.8
CRIT_DMG,2,3,10.4
CRIT_DMG,2,4,11.9
CRIT_DMG,3,0,7.0
CRIT_DMG,3,1,9.0
CRIT_DMG,3,2,11.0
CRIT_DMG,3,3,12.9
CRIT_DMG,3,4,14.9
CRIT_DMG,3,5,16.9
CRIT_DMG,3,6,18.9
CRIT_DMG,3,7,20.9
CRIT_DMG,3,8,22.8
CRIT_DMG,3,9,24.8
CRIT_DMG,3,10,26.8
CRIT_DMG,3,11,28.8
CRIT_DMG,3,12,30.8
CRIT_DMG,4,0,8.4
CRIT_DMG,4,1,10.8
CRIT_DMG,4,2,13.1
CRIT_DMG,4,3,15.5
CRIT_DMG,4,4,17.9
CRIT_DMG,4,5,20.3
CRIT_DMG,4,6,22.7
CRIT_DMG,4,7,25.0
CRIT_DMG,4,8,27.4
CRIT_DMG,4,9,29.8
CRIT_DMG,4,10,32.2
CRIT_DMG,4,11,34.5
CRIT_DMG,4,12,36.9
CRIT_DMG,4,13,39.3
CRIT_DMG,4,14,41.7
CRIT_DMG,4,15,44.1
CRIT_DMG,4,16,46.4
CRIT_DMG,5,0,9.3
CRIT_DMG,5,1,12.0
CRIT_DMG,5,2,14.6
CRIT_DMG,5,3,17.3
CRIT_DMG,5,4,19.9
CRIT_DMG,5,5,22.5
CRIT_DMG,5,6,25.2
CRIT_DMG,5,7,27.8
CRIT_DMG,5,8,30.5
CRIT_DMG,5,9,33.1
CRIT_DMG,5,10,35.7
CRIT_DMG,5,11,38.4
CRIT_DMG,5,12,41.0
CRIT_DMG,5,13,43.7
CRIT_DMG,5,14,46.3
CRIT_DMG,5,15,49.0
CRIT_DMG,5,16,51.6
CRIT_DMG,5,17,54.2
CRIT_DMG,5,18,56.9
CRIT_DMG,5,19,59.5
CRIT_DMG,5,20,62.2
CRIT_RATE,1,0,2.1
CRIT_RATE,1,1,2.9
CRIT_RATE,1,2,3.7
CRIT_RATE,1,3,4.5
CRIT_RATE,1,4,5.3
CRIT_RATE,2,0,2.8
CRIT_RATE,2,1,3.6
CRIT_RATE,2,2,4.4
CRIT_RATE,2,3,5.2
CRIT_RATE,2,4,6.0
CRIT_RATE,3,0,3.5
CRIT_RATE,3,1,4.5
CRIT_RATE,3,2,5.5
CRIT_RATE,3,3,6.5
CRIT_RATE,3,4,7.5
CRIT_RATE,3,5,8.4
CRIT_RATE,3,6,9.4
CRIT_RATE,3,7,10.4
CRIT_RATE,3,8,11.4
CRIT_RATE,3,9,12.4
CRIT_RATE,3,10,13.4
CRIT_RATE,3,11,14.4
CRIT_RATE,3,12,15.4
CRIT_RATE,4,0,4.2
CRIT_RATE,4,1,5.4
CRIT_RATE,4,2,6.6
CRIT_RATE,4,3,7.8
CRIT_RATE,4,4,9.0
CRIT_RATE,4,5,10.1
CRIT_RATE,4,6,11.3
CRIT_RATE,4,7,12.5
CRIT_RATE,4,8,13.7
CRIT_RATE,4,9,14.9
CRIT_RATE,4,10,16.1
CRIT_RATE,4,11,17.3
CRIT_RATE,4,12,18.5
CRIT_RATE,4,13,19.7
CRIT_RATE,4,14,20.8
CRIT_RATE,4,15,22.0
CRIT_RATE,4,16,23.2
CRIT_RATE,5,0,4.7
CRIT_RATE,5,1,6.0
CRIT_RATE,5,2,7.3
CRIT_RATE,5,3,8.6
CRIT_RATE,5,4,9.9
CRIT_RATE,5,5,11.3
CRIT_RATE,5,6,12.6
CRIT_RATE,5,7,13.9
CRIT_RATE,5,8,15.2
CRIT_RATE,5,9,16.6
CRIT_RATE,5,10,17.9
CRIT_RATE,5,11,19.2
CRIT_RATE,5,12,20.5
CRIT_RATE,5,13,21.8
CRIT_RATE,5,14,23.2
CRIT_RATE,5,15,24.5
CRIT_RATE,5,16,25.8
CRIT_RATE,5,17,27.1
CRIT_RATE,5,18,28.4
CRIT_RATE,5,19,29.8
CRIT_RATE,5,20,31.1
CRYO_DMG,1,0,3.1
CRYO_DMG,1,1,4.3
CRYO_DMG,1,2,5.5
CRYO_DMG,1,3,6.7
CRYO_DMG,1,4,7.9
CRYO_DMG,2,0,4.2
CRYO_DMG,2,1,5.4
CRYO_DMG,2,2,6.6
CRYO_DMG,2,3,7.8
CRYO_DMG,2,4,9.0
CRYO_DMG,3,0,5.2
CRYO_DMG,3,1,6.7
CRYO_DMG,3,2,8.2
CRYO_DMG,3,3,9.7
CRYO_DMG,3,4,11.2
CRYO_DMG,3,5,12.7
CRYO_DMG,3,6,14.2
CRYO_DMG,3,7,15.6
CRYO_DMG,3,8,17.1
CRYO_DMG,3,9,18.6
CRYO_DMG,3,10,20.1
CRYO_DMG,3,11,21.6
CRYO_DMG,3,12,23.1
CRYO_DMG,4,0,6.3
CRYO_DMG,4,1,8.1
CRYO_DMG,4,2,9.9
CRYO_DMG,4,3,11.6
CRYO_DMG,4,4,13.4
CRYO_DMG,4,5,15.2
CRYO_DMG,4,6,17.0
CRYO_DMG,4,7,18.8
CRYO_DMG,4,8,20.6
CRYO_DMG,4,9,22.3
CRYO_DMG,4,10,24.1
CRYO_DMG,4,11,25.9
CRYO_DMG,4,12,27.7
CRYO_DMG,4,13,29.5
CRYO_DMG,4,14,31.3
CRYO_DMG,4,15,33.0
CRYO_DMG,4,16,34.8
CRYO_DMG,5,0,7.0
CRYO_DMG,5,1,9.0
CRYO_DMG,5,2,11.0
CRYO_DMG,5,3,12.9
CRYO_DMG,5,4,14.9
CRYO_DMG,5,5,16.9
CRYO_DMG,5,6,18.9
CRYO_DMG,5,7,20.9
CRYO_DMG,5,8,22.8
CRYO_DMG,5,9,24.8
CRYO_DMG,5,10,26.8
CRYO_DMG,5,11,28.8
CRYO_DMG,5,12,30.8
CRYO_DMG,5,13,32.8
CRYO_DMG,5,14,34.7
CRYO_DMG,5,15,36.7
CRYO_DMG,5,16,38.7
CRYO_DMG,5,17,40.7
CRYO_DMG,5,18,42.7
CRYO_DMG,5,19,44.6
CRYO_DMG,5,20,46.6
DEF_PCT,1,0,3.9
DEF_PCT,1,1,5.4
DEF_PCT,1,2,6.9
DEF_PCT,1,3,8.4
DEF_PCT,1,4,9.9
DEF_PCT,2,0,5.2
DEF_PCT,2,1,6.7
DEF_PCT,2,2,8.2
DEF_PCT,2,3,9.7
DEF_PCT,2,4,11.2
DEF_PCT,3,0,6.6
DEF_PCT,3,1,8.4
DEF_PCT,3,2,10.3
DEF_PCT,3,3,12.1
DEF_PCT,3,4,14.0
DEF_PCT,3,5,15.8
DEF_PCT,3,6,17.7
DEF_PCT,3,7,19.6
DEF_PCT,3,8,21.4
DEF_PCT,3,9,23.3
DEF_PCT,3,10,25.1
DEF_PCT,3,11,27.0
DEF_PCT,3,12,28.8
DEF_PCT,4,0,7.9
DEF_PCT,4,1,10.1
DEF_PCT,4,2,12.3
DEF_PCT,4,3,14.6
DEF_PCT,4,4,16.8
DEF_PCT,4,5,19.0
DEF_PCT,4,6,21.2
DEF_PCT,4,7,23.5
DEF_PCT,4,8,25.7
DEF_PCT,4,9,27.9
DEF_PCT,4,10,30.2
DEF_PCT,4,11,32.4
DEF_PCT,4,12,34.6
DEF_PCT,4,13,36.8
DEF_PCT,4,14,39.1
DEF_PCT,4,15,41.3
DEF_PCT,4,16,43.5
DEF_PCT,5,0,8.7
DEF_PCT,5,1,11.2
DEF_PCT,5,2,13.7
DEF_PCT,5,3,16.2
DEF_PCT,5,4,18.6
DEF_PCT,5,5,21.1
DEF_PCT,5,6,23.6
DEF_PCT,5,7,26.1
DEF_PCT,5,8,28.6
DEF_PCT,5,9,31.0
DEF_PCT,5,10,33.5
DEF_PCT,5,11,36.0
DEF_PCT,5,12,38.5
DEF_PCT,5,13,40.9
DEF_PCT,5,14,43.4
DEF_PCT,5,15,45.9
DEF_PCT,5,16,48.4
DEF_PCT,5,17,50.8
DEF_PCT,5,18,53.3
DEF_PCT,5,19,55.8
DEF_PCT,5,20,58.3
DENDRO_DMG,1,0,3.1
DENDRO_DMG,1,1,4.3
DENDRO_DMG,1,2,5.5
DENDRO_DMG,1,3,6.7
DENDRO_DMG,1,4,7.9
DENDRO_DMG,2,0,4.2
DENDRO_DMG,2,1,5.4
DENDRO_DMG,2,2,6.6
DENDRO_DMG,2,3,7.8
DENDRO_DMG,2,4,9.0
DENDRO_DMG,3,0,5.2
DENDRO_DMG,3,1,6.7
DENDRO_DMG,3,2,8.2
DENDRO_DMG,3,3,9.7
DENDRO_DMG,3,4,11.2
DENDRO_DMG,3,5,12.7
DENDRO_DMG,3,6,14.2
DENDRO_DMG,3,7,15.6
DENDRO_DMG,3,8,17.1
DENDRO_DMG,3,9,18.6
DENDRO_DMG,3,10,20.1
DENDRO_DMG,3,11,21.6
DENDRO_DMG,3,12,23.1
DENDRO_DMG,4,0,6.3
DENDRO_DMG,4,1,8.1
DENDRO_DMG,4,2,9.9
DENDRO_DMG,4,3,11.6
DENDRO_DMG,4,4,13.4
DENDRO_DMG,4,5,15.2
DENDRO_DMG,4,6,17.0
DENDRO_DMG,4,7,18.8
DENDRO_DMG,4,8,20.6
DENDRO_DMG,4,9,22.3
DENDRO_DMG,4,10,24.1
DENDRO_DMG,4,11,25.9
DENDRO_DMG,4,12,27.7
DENDRO_DMG,4,13,29.5
DENDRO_DMG,4,14,31.3
DENDRO_DMG,4,15,33.0
DENDRO_DMG,4,16,34.8
DENDRO_DMG,5,0,7.0
DENDRO_DMG,5,1,9.0
DENDRO_DMG,5,2,11.0
DENDRO_DMG,5,3,12.9
DENDRO_DMG,5,4,14.9
DENDRO_DMG,5,5,16.9
DENDRO_DMG,5,6,18.9
DENDRO_DMG,5,7,20.9
DENDRO_DMG,5,8,22.8
DENDRO_DMG,5,9,24.8
DENDRO_DMG,5,10,26.8
DENDRO_DMG,5,11,28.8
DENDRO_DMG,5,12,30.8
DENDRO_DMG,5,13,32.8
DENDRO_DMG,5,14,34.7
DENDRO_DMG,5,15,36.7
DENDRO_DMG,5,16,38.7
DENDRO_DMG,5,17,40.7
DENDRO_DMG,5,18,42.7
DENDRO_DMG,5,19,44.6
DENDRO_DMG,5,20,46.6
ELECTRO_DMG,1,0,3.1
ELECTRO_DMG,1,1,4.3
ELECTRO_DMG,1,2,5.5
ELECTRO_DMG,1,3,6.7
ELECTRO_DMG,1,4,7.9
ELECTRO_DMG,2,0,4.2
ELECTRO_DMG,2,1,5.4
ELECTRO_DMG,2,2,6.6
ELECTRO_DMG,2,3,7.8
ELECTRO_DMG,2,4,9.0
ELECTRO_DMG,3,0,5.2
ELECTRO_DMG,3,1,6.7
ELECTRO_DMG,3,2,8.2
ELECTRO_DMG,3,3,9.7
ELECTRO_DMG,3,4,11.2
ELECTRO_DMG,3,5,12.7
ELECTRO_DMG,3,6,14.2
ELECTRO_DMG,3,7,15.6
ELECTRO_DMG,3,8,17.1
ELECTRO_DMG,3,9,18.6
ELECTRO_DMG,3,10,20.1
ELECTRO_DMG,3,11,21.6
ELECTRO_DMG,3,12,23.1
ELECTRO_DMG,4,0,6.3
ELECTRO_DMG,4,1,8.1
ELECTRO_DMG,4,2,9.9
ELECTRO_DMG,4,3,11.6
ELECTRO_DMG,4,4,13.4
ELECTRO_DMG,4,5,15.2
ELECTRO_DMG,4,6,17.0
ELECTRO_DMG,4,7,18.8
ELECTRO_DMG,4,8,20.6
ELECTRO_DMG,4,9,22.3
ELECTRO_DMG,4,10,24.1
ELECTRO_DMG,4,11,25.9
ELECTRO_DMG,4,12,27.7
ELECTRO_DMG,4,13,29.5
ELECTRO_DMG,4,14,31.3
ELECTRO_DMG,4,15,33.0
ELECTRO_DMG,4,16,34.8
ELECTRO_DMG,5,0,7.0
ELECTRO_DMG,5,1,9.0
ELECTRO_DMG,5,2,11.0
ELECTRO_DMG,5,3,12.9
ELECTRO_DMG,5,4,14.9
ELECTRO_DMG,5,5,16.9
ELECTRO_DMG,5,6,18.9
ELECTRO_DMG,5,7,20.9
ELECTRO_DMG,5,8,22.8
ELECTRO_DMG,5,9,24.8
ELECTRO_DMG,5,10,26.8
ELECTRO_DMG,5,11,28.8
ELECTRO_DMG,5,12,30.8
ELECTRO_DMG,5,13,32.8
ELECTRO_DMG,5,14,34.7
ELECTRO_DMG,5,15,36.7
ELECTRO_DMG,5,16,38.7
ELECTRO_DMG,5,17,40.7
ELECTRO_DMG,5,18,42.7
ELECTRO_DMG,5,19,44.6
ELECTRO_DMG,5,20,46.6
ELEMENTAL_MASTERY,1,0,12.6
ELEMENTAL_MASTERY,1,1,17.3
ELEMENTAL_MASTERY,1,2,22.1
ELEMENTAL_MASTERY,1,3,26.9
ELEMENTAL_MASTERY,1,4,31.6
ELEMENTAL_MASTERY,2,0,16.8
ELEMENTAL_MASTERY,2,1,21.5
ELEMENTAL_MASTERY,2,2,26.3
ELEMENTAL_MASTERY,2,3,31.1
ELEMENTAL_MASTERY,2,4,35.8
ELEMENTAL_MASTERY,3,0,21.0
ELEMENTAL_MASTERY,3,1,26.9
ELEMENTAL_MASTERY,3,2,32.9
ELEMENTAL_MASTERY,3,3,38.8
ELEMENTAL_MASTERY,3,4,44.8
ELEMENTAL_MASTERY,3,5,50.7
ELEMENTAL_MASTERY,3,6,56.7
ELEMENTAL_MASTERY,3,7,62.6
ELEMENTAL_MASTERY,3,8,68.5
ELEMENTAL_MASTERY,3,9,74.5
ELEMENTAL_MASTERY,3,10,80.4
ELEMENTAL_MASTERY,3,11,86.4
ELEMENTAL_MASTERY,3,12,92.3
ELEMENTAL_MASTERY,4,0,25.2
ELEMENTAL_MASTERY,4,1,32.3
ELEMENTAL_MASTERY,4,2,39.4
ELEMENTAL_MASTERY,4,3,46.6
ELEMENTAL_MASTERY,4,4,53.7
ELEMENTAL_MASTERY,4,5,60.8
ELEMENTAL_MASTERY,4,6,68.0
ELEMENTAL_MASTERY,4,7,75.1
ELEMENTAL_MASTERY,4,8,82.2
ELEMENTAL_MASTERY,4,9,89.4
ELEMENTAL_MASTERY,4,10,96.5
ELEMENTAL_MASTERY,4,11,103.6
ELEMENTAL_MASTERY,4,12,110.8
ELEMENTAL_MASTERY,4,13,117.9
ELEMENTAL_MASTERY,4,14,125.0
ELEMENTAL_MASTERY,4,15,132.2
ELEMENTAL_MASTERY,4,16,139.3
ELEMENTAL_MASTERY,5,0,28.0
ELEMENTAL_MASTERY,5,1,35.9
ELEMENTAL_MASTERY,5,2,43.8
ELEMENTAL_MASTERY,5,3,51.8
ELEMENTAL_MASTERY,5,4,59.7
ELEMENTAL_MASTERY,5,5,67.6
ELEMENTAL_MASTERY,5,6,75.5
ELEMENTAL_MASTERY,5,7,83.5
ELEMENTAL_MASTERY,5,8,91.4
ELEMENTAL_MASTERY,5,9,99.3
ELEMENTAL_MASTERY,5,10,107.2
ELEMENTAL_MASTERY,5,11,115.2
ELEMENTAL_MASTERY,5,12,123.1
ELEMENTAL_MASTERY,5,13,131.0
ELEMENTAL_MASTERY,5,14,138.9
ELEMENTAL_MASTERY,5,15,146.9
ELEMENTAL_MASTERY,5,16,154.8
ELEMENTAL_MASTERY,5,17,162.7
ELEMENTAL_MASTERY,5,18,170.6
ELEMENTAL_MASTERY,5,19,178.6
ELEMENTAL_MASTERY,5,20,186.5
ENERGY_RECHARGE,1,0,3.5
ENERGY_RECHARGE,1,1,4.8
ENERGY_RECHARGE,1,2,6.1
ENERGY_RECHARGE,1,3,7.5
ENERGY_RECHARGE,1,4,8.8
ENERGY_RECHARGE,2,0,4.7
ENERGY_RECHARGE,2,1,6.0
ENERGY_RECHARGE,2,2,7.3
ENERGY_RECHARGE,2,3,8.6
ENERGY_RECHARGE,2,4,9.9
ENERGY_RECHARGE,3,0,5.8
ENERGY_RECHARGE,3,1,7.5
ENERGY_RECHARGE,3,2,9.1
ENERGY_RECHARGE,3,3,10.8
ENERGY_RECHARGE,3,4,12.4
ENERGY_RECHARGE,3,5,14.1
ENERGY_RECHARGE,3,6,15.7
ENERGY_RECHARGE,3,7,17.4
ENERGY_RECHARGE,3,8,19.0
ENERGY_RECHARGE,3,9,20.7
ENERGY_RECHARGE,3,10,22.3
ENERGY_RECHARGE,3,11,24.0
ENERGY_RECHARGE,3,12,25.6
ENERGY_RECHARGE,4,0,7.0
ENERGY_RECHARGE,4,1,9.0
ENERGY_RECHARGE,4,2,11.0
ENERGY_RECHARGE,4,3,12.9
ENERGY_RECHARGE,4,4,14.9
ENERGY_RECHARGE,4,5,16.9
ENERGY_RECHARGE,4,6,18.9
ENERGY_RECHARGE,4,7,20.9
ENERGY_RECHARGE,4,8,22.8
ENERGY_RECHARGE,4,9,24.8
ENERGY_RECHARGE,4,10,26.8
ENERGY_RECHARGE,4,11,28.8
ENERGY_RECHARGE,4,12,30.8
ENERGY_RECHARGE,4,13,32.8
ENERGY_RECHARGE,4,14,34.7
ENERGY_RECHARGE,4,15,36.7
ENERGY_RECHARGE,4,16,38.7
ENERGY_RECHARGE,5,0,7.8
ENERGY_RECHARGE,5,1,10.0
ENERGY_RECHARGE,5,2,12.2
ENERGY_RECHARGE,5,3,14.4
ENERGY_RECHARGE,5,4,16.6
ENERGY_RECHARGE,5,5,18.8
ENERGY_RECHARGE,5,6,21.0
ENERGY_RECHARGE,5,7,23.2
ENERGY_RECHARGE,5,8,25.4
ENERGY_RECHARGE,5,9,27.6
ENERGY_RECHARGE,5,10,29.8
ENERGY_RECHARGE,5,11,32.0
ENERGY_RECHARGE,5,12,34.2
ENERGY_RECHARGE,5,13,36.4
ENERGY_RECHARGE,5,14,38.6
ENERGY_RECHARGE,5,15,40.8
ENERGY_RECHARGE,5,16,43.0
ENERGY_RECHARGE,5,17,45.2
ENERGY_RECHARGE,5,18,47.4
ENERGY_RECHARGE,5,19,49.6
ENERGY_RECHARGE,5,20,51.8
GEO_DMG,1,0,3.1
GEO_DMG,1,1,4.3
GEO_DMG,1,2,5.5
GEO_DMG,1,3,6.7
GEO_DMG,1,4,7.9
GEO_DMG,2,0,4.2
GEO_DMG,2,1,5.4
GEO_DMG,2,2,6.6
GEO_DMG,2,3,7.8
GEO_DMG,2,4,9.0
GEO_DMG,3,0,5.2
GEO_DMG,3,1,6.7
GEO_DMG,3,2,8.2
GEO_DMG,3,3,9.7
GEO_DMG,3,4,11.2
GEO_DMG,3,5,12.7
GEO_DMG,3,6,14.2
GEO_DMG,3,7,15.6
GEO_DMG,3,8,17.1
GEO_DMG,3,9,18.6
GEO_DMG,3,10,20.1
GEO_DMG,3,11,21.6
GEO_DMG,3,12,23.1
GEO_DMG,4,0,6.3
GEO_DMG,4,1,8.1
GEO_DMG,4,2,9.9
GEO_DMG,4,3,11.6
GEO_DMG,4,4,13.4
GEO_DMG,4,5,15.2
GEO_DMG,4,6,17.0
GEO_DMG,4,7,18.8
GEO_DMG,4,8,20.6
GEO_DMG,4,9,22.3
GEO_DMG,4,10,24.1
GEO_DMG,4,11,25.9
GEO_DMG,4,12,27.7
GEO_DMG,4,13,29.5
GEO_DMG,4,14,31.3
GEO_DMG,4,15,33.0
GEO_DMG,4,16,34.8
GEO_DMG,5,0,7.0
GEO_DMG,5,1,9.0
GEO_DMG,5,2,11.0
GEO_DMG,5,3,12.9
GEO_DMG,5,4,14.9
GEO_DMG,5,5,16.9
GEO_DMG,5,6,18.9
GEO_DMG,5,7,20.9
GEO_DMG,5,8,22.8
GEO_DMG,5,9,24.8
GEO_DMG,5,10,26.8
GEO_DMG,5,11,28.8
GEO_DMG,5,12,30.8
GEO_DMG,5,13,32.8
GEO_DMG,5,14,34.7
GEO_DMG,5,15,36.7
GEO_DMG,5,16,38.7
GEO_DMG,5,17,40.7
GEO_DMG,5,18,42.7
GEO_DMG,5,19,44.6
GEO_DMG,5,20,46.6
HEALING_BONUS,1,0,2.4
HEALING_BONUS,1,1,3.3
HEALING_BONUS,1,2,4.3
HEALING_BONUS,1,3,5.2
HEALING_BONUS,1,4,6.1
HEALING_BONUS,2,0,3.2
HEALING_BONUS,2,1,4.1
HEALING_BONUS,2,2,5.1
HEALING_BONUS,2,3,6.0
HEALING_BONUS,2,4,6.9
HEALING_BONUS,3,0,4.0
HEALING_BONUS,3,1,5.2
HEALING_BONUS,3,2,6.3
HEALING_BONUS,3,3,7.5
HEALING_BONUS,3,4,8.6
HEALING_BONUS,3,5,9.8
HEALING_BONUS,3,6,10.9
HEALING_BONUS,3,7,12.0
HEALING_BONUS,3,8,13.2
HEALING_BONUS,3,9,14.3
HEALING_BONUS,3,10,15.5
HEALING_BONUS,3,11,16.6
HEALING_BONUS,3,12,17.8
HEALING_BONUS,4,0,4.8
HEALING_BONUS,4,1,6.2
HEALING_BONUS,4,2,7.6
HEALING_BONUS,4,3,9.0
HEALING_BONUS,4,4,10.3
HEALING_BONUS,4,5,11.7
HEALING_BONUS,4,6,13.1
HEALING_BONUS,4,7,14.4
HEALING_BONUS,4,8,15.8
HEALING_BONUS,4,9,17.2
HEALING_BONUS,4,10,18.6
HEALING_BONUS,4,11,19.9
HEALING_BONUS,4,12,21.3
HEALING_BONUS,4,13,22.7
HEALING_BONUS,4,14,24.0
HEALING_BONUS,4,15,25.4
HEALING_BONUS,4,16,26.8
HEALING_BONUS,5,0,5.4
HEALING_BONUS,5,1,6.9
HEALING_BONUS,5,2,8.4
HEALING_BONUS,5,3,10.0
HEALING_BONUS,5,4,11.5
HEALING_BONUS,5,5,13.0
HEALING_BONUS,5,6,14.5
HEALING_BONUS,5,7,16.1
HEALING_BONUS,5,8,17.6
HEALING_BONUS,5,9,19.1
HEALING_BONUS,5,10,20.6
HEALING_BONUS,5,11,22.1
HEALING_BONUS,5,12,23.7
HEALING_BONUS,5,13,25.2
HEALING_BONUS,5,14,26.7
HEALING_BONUS,5,15,28.2
HEALING_BONUS,5,16,29.8
HEALING_BONUS,5,17,31.3
HEALING_BONUS,5,18,32.8
HEALING_BONUS,5,19,34.3
HEALING_BONUS,5,20,35.9
HP,1,0,129.0
HP,1,1,178.0
HP,1,2,227.0
HP,1,3,275.0
HP,1,4,324.0
HP,2,0,258.0
